Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"66 SUMMIT Avenue, Kitchener, ON",Rental,2980,"1,902 SQFT","$4,264",4,2
"110 FERGUS Avenue Unit# 201, Kitchener, ON",Rental,1950,683 SQFT,N/A,1,1
"251 NORTHFIELD Drive Unit# 602, Waterloo, ON",Rental,2450,800 SQFT,N/A,2,2
"461 TREMBLING ASPEN Avenue, Waterloo, ON",Rental,3100,"1,363 SQFT",N/A,3,2
"28 WESTHILL Drive Unit# 417, Waterloo, ON",Rental,2510,850 SQFT,N/A,2,2
"28 WESTHILL Drive Unit# 411, Waterloo, ON",Rental,2420,830 SQFT,N/A,2,2
"1200 COURTLAND Avenue E Unit# 45, Kitchener, ON",Rental,1999,990 SQFT,"$1,467",2,1
"1 - 413 BAIRSTOW CRESCENT, Waterloo, ON",Rental,3100,Not listed,N/A,3,2
"502 - 51 DAVID STREET, Kitchener, ON",Rental,1950,Not listed,N/A,1,1
"525 NEW DUNDEE Road Unit# 205, Kitchener, ON",Rental,2250,811 SQFT,N/A,1,1
"580 HIGHPOINT Avenue Unit# Upper, Waterloo, ON",Rental,2450,"1,150 SQFT",N/A,3,1
"241 FERN Crescent, Waterloo, ON",Rental,3950,"2,900 SQFT",N/A,4,4
"5 - 231 BECKER STREET, Kitchener, ON",Rental,2500,Not listed,N/A,3,2
"12 OAT Lane, Kitchener, ON",Rental,2300,930 SQFT,N/A,0,2
"126 PEACH BLOSSOM Crescent, Kitchener, ON",Rental,3400,"1,617 SQFT",N/A,4,3
"101 WOOD Street, Kitchener, ON",Rental,4800,"1,885 SQFT",N/A,3,3
"72 ERB Street E Unit# 101, Waterloo, ON",Rental,2095,686 SQFT,N/A,1,1
"144 PARK Street Unit# 1502, Waterloo, ON",Rental,2799,958 SQFT,N/A,3,2
"600 VICTORIA Street S Unit# 7, Kitchener, ON",Rental,2400,"1,055 SQFT",N/A,2,2
"318 DOLPH Street S Unit# 1, Cambridge, ON",Rental,1975,740 SQFT,N/A,2,1
"1674H FISCHER HALLMAN Road, Kitchener, ON",Rental,2095,963 SQFT,N/A,2,1
"15 WELLINGTON Street S Unit# 2312, Kitchener, ON",Rental,1925,625 SQFT,N/A,1,1
"261 WOODBINE Avenue Unit# 41, Kitchener, ON",Rental,2350,"1,280 SQFT",N/A,2,3
"108 GARMENT Street S Unit# 608, Kitchener, ON",Rental,2600,788 SQFT,N/A,2,2
"15 WELLINGTON Street Unit# 304, Kitchener, ON",Rental,2500,730 SQFT,N/A,3,2
"407 - 60 FREDERICK STREET, Kitchener, ON",Rental,2650,Not listed,N/A,2,2
"953 CREEKSIDE Drive Unit# B, Waterloo, ON",Rental,1600,628 SQFT,"$3,744",0,1
"420 NEWMAN Drive Unit# 23, Cambridge, ON",Rental,2695,"1,588 SQFT",N/A,3,3
"BSMNT - 456 TWINLEAF STREET, Waterloo, ON",Rental,2150,Not listed,N/A,2,1
"94 ROBERT PEEL Road, Kitchener, ON",Rental,2550,"1,512 SQFT","$4,175",2,3
"47 EVA DRIVE, Woolwich, ON",Rental,2850,Not listed,N/A,3,4
"23 - 570 LINDEN DRIVE, Cambridge, ON",Rental,3000,Not listed,N/A,3,3
"100 OLD CARRIAGE Drive Unit# A301, Kitchener, ON",Rental,1950,870 SQFT,N/A,2,1
"424 ARGYLE Street S Unit# 1, Cambridge, ON",Rental,1700,400 SQFT,N/A,1,1
"231 MAX BECKER Drive Unit# 5, Kitchener, ON",Rental,2500,"1,662 SQFT",N/A,3,2
"108 MOORE Avenue Unit# Bsmt Only, Kitchener, ON",Rental,1600,598 SQFT,"$3,636",1,1
"857 BRANDENBURG Boulevard, Waterloo, ON",Rental,3250,"2,535 SQFT",N/A,3,3
"709 - 104 GARMENT STREET, Kitchener, ON",Rental,2650,Not listed,N/A,2,2
"152 OVERLEA DRIVE, Kitchener, ON",Rental,3000,Not listed,N/A,3,3
"2 - 453 ALBERT STREET, Waterloo, ON",Rental,3200,Not listed,N/A,3,2
"17 - 45 BANK SWALLOW CRESCENT, Kitchener, ON",Rental,2850,Not listed,N/A,3,3
"311 WOOLWICH Street Unit# 6, Waterloo, ON",Rental,3100,"1,898 SQFT",N/A,4,3
"15 WELLINGTON Street Unit# 411, Kitchener, ON",Rental,2100,620 SQFT,N/A,1,1
"25 HAHN Place Unit# MAIN, Kitchener, ON",Rental,2500,"1,300 SQFT","$4,400",3,1
"45 BANK SWALLOW Crescent, Kitchener, ON",Rental,2850,"1,615 SQFT","$3,854",3,3
"377 CHOKECHERRY Crescent, Waterloo, ON",Rental,1900,900 SQFT,N/A,2,1
"100 GARMENT Street Unit# 409, Kitchener, ON",Rental,2750,933 SQFT,N/A,2,2
"175 OXFORD Street Unit# A, Kitchener, ON",Rental,2400,"1,065 SQFT",N/A,3,1
"40 COMPASS Trail, Cambridge, ON",Rental,3900,"2,805 SQFT","$8,158",4,3
"140 WATERMILL Street, Kitchener, ON",Rental,2799,"1,470 SQFT",N/A,3,3
"139 BRIGHTON Street Unit# 4c, Waterloo, ON",Rental,1950,648 SQFT,"$2,278",1,1
"765 LINDEN DRIVE, Cambridge, ON",Rental,2600,Not listed,N/A,5,3
"261 WOODBINE Avenue Unit# 73, Kitchener, ON",Rental,2300,"1,300 SQFT",N/A,2,3
"159 HISTAND Trail, Kitchener, ON",Rental,3500,"2,254 SQFT",N/A,4,3
"110 FERGUS Avenue Unit# 39, Kitchener, ON",Rental,3250,"1,793 SQFT","$5,053",3,2
"311 WOOLWICH Street Unit# 7, Waterloo, ON",Rental,3100,"1,840 SQFT",N/A,3,3
"1434 HIGHLAND Road W Unit# 206, Kitchener, ON",Rental,1950,700 SQFT,N/A,2,1
"238 LOWTHER Street N, Cambridge, ON",Rental,2950,"1,479 SQFT","$3,009",4,2
"38 BLACK WALNUT Drive, Kitchener, ON",Rental,2800,"1,856 SQFT",N/A,3,2
"32 OBERMEYER DRIVE, Kitchener, ON",Rental,2450,Not listed,N/A,3,1
"64 BENTON Street Unit# 503, Kitchener, ON",Rental,1675,Not listed,"$1,333",1,1
"29 PAULANDER Drive Unit# 3, Kitchener, ON",Rental,3680,"1,350 SQFT","$2,545",3,3
"399 DOLMAN STREET, Woolwich, ON",Rental,3100,Not listed,N/A,4,3
"BSMT - 42 SHANLEY STREET, Kitchener, ON",Rental,1500,Not listed,N/A,0,1
"1102 - 104 GARMENT STREET, Kitchener, ON",Rental,2350,Not listed,N/A,2,1
"42 SHANLEY Street Unit# Basement, Kitchener, ON",Rental,1500,650 SQFT,N/A,0,1
"310 - 15 PRINCE ALBERT BOULEVARD, Kitchener, ON",Rental,2140,Not listed,N/A,2,2
"5 WELLINGTON Street S Unit# 604, Kitchener, ON",Rental,2050,600 SQFT,N/A,2,1
"139 BRIGHTON Street Unit# 11A, Waterloo, ON",Rental,2650,"1,250 SQFT",N/A,3,2
"741 KING ST W REAR Unit# 512, Kitchener, ON",Rental,2000,683 SQFT,N/A,1,1
"991 CREEKSIDE Drive, Waterloo, ON",Rental,2950,"2,109 SQFT","$3,316",4,4
"104 GARMENT Street Unit# 404, Kitchener, ON",Rental,1899,699 SQFT,N/A,1,1
"23 SPRING Street W, Waterloo, ON",Rental,3000,"1,010 SQFT",N/A,5,2
"589 BEECHWOOD Drive Unit# 35, Waterloo, ON",Rental,2900,"1,694 SQFT","$2,901",3,2
"328 BREEZEWOOD Crescent Unit# B, Waterloo, ON",Rental,2000,"1,024 SQFT","$4,672",2,1
"5 WAKE ROBIN Drive Unit# 211, Kitchener, ON",Rental,2000,603 SQFT,N/A,1,1
"396 EQUESTRIAN Way, Cambridge, ON",Rental,3750,"3,100 SQFT",N/A,4,4
"5 - 314 EQUESTRIAN WAY, Cambridge, ON",Rental,2900,Not listed,N/A,4,4
"BSMT 1 - 107 ELLIS CRESCENT, Waterloo, ON",Rental,1295,Not listed,N/A,1,1
"151 BRIDGEPORT ROAD E, Waterloo, ON",Rental,3000,Not listed,N/A,3,2
"428 PROSPECT Avenue Unit# 7, Kitchener, ON",Rental,2075,778 SQFT,N/A,2,1
"15 WELLINGTON Street S Unit# 2406, Kitchener, ON",Rental,2000,625 SQFT,N/A,1,1
"514 FALLINGBROOK Drive Unit# Lower, Waterloo, ON",Rental,2425,"1,065 SQFT","$3,373",3,2
"151 BRIDGEPORT Road E Unit# 4, Waterloo, ON",Rental,3000,"1,500 SQFT",N/A,3,2
"64 GRAND HILL Drive, Kitchener, ON",Rental,3995,"2,306 SQFT",N/A,3,2
"17 SORRENTO STREET, Kitchener, ON",Rental,3100,Not listed,N/A,3,4
"168 OTTERBEIN Road, Kitchener, ON",Rental,3400,"2,140 SQFT",N/A,5,3
"456 BEAUMONT Crescent, Kitchener, ON",Rental,3195,"1,652 SQFT",N/A,3,3
"100 GARMENT Street Unit# 1708, Kitchener, ON",Rental,2100,631 SQFT,"$2,885",1,1
"66 FORESTWALK Street, Kitchener, ON",Rental,2950,Not listed,"$3,971",3,3
"140 DAYLILY LANE W, Kitchener, ON",Rental,2300,Not listed,N/A,2,3
"1434 HIGHLAND Road W Unit# 204, Kitchener, ON",Rental,1950,690 SQFT,N/A,2,1
"MAIN - 237 SHADY GLEN CRESCENT, Kitchener, ON",Rental,2999,Not listed,N/A,3,3
"B - 23 MARKWOOD DRIVE, Kitchener, ON",Rental,1995,Not listed,N/A,3,1
"607 - 128 KING STREET N, Waterloo, ON",Rental,1800,Not listed,N/A,2,1
"235 GUELPH Street Unit# Lower, Kitchener, ON",Rental,1795,"2,113 SQFT","$3,806",1,1
"190 MELROSE Avenue, Kitchener, ON",Rental,2600,"1,250 SQFT","$4,086",3,1
"100 OLD CARRIAGE Drive Unit# 105, Kitchener, ON",Rental,2195,870 SQFT,N/A,2,1
"409 - 101 GOLDEN EAGLE ROAD N, Waterloo, ON",Rental,2100,Not listed,N/A,1,1
"120 OLD CARRIAGE Drive Unit# B710, Kitchener, ON",Rental,2193,899 SQFT,N/A,2,1
"509 WESTFOREST Trail, Kitchener, ON",Rental,2895,0 SQFT,N/A,3,3
"350 FISHER MILLS Road Unit# 14, Cambridge, ON",Rental,2350,990 SQFT,N/A,2,2
"31 TOWNSEND Drive Unit# 8, Breslau, ON",Rental,2800,"1,790 SQFT",N/A,2,3
"1607 - 60 FREDERICK STREET, Kitchener, ON",Rental,2150,Not listed,N/A,2,2
"4 GLEN AVON Crescent Unit# Upper, Kitchener, ON",Rental,2650,"1,650 SQFT",N/A,3,2
"741 KING Street W Unit# 701, Kitchener, ON",Rental,2550,733 SQFT,"$6,682",2,1
"595 STRASBURG Road Unit# 511, Kitchener, ON",Rental,2150,716 SQFT,N/A,2,1
"513 MAYFLOWER Street, Waterloo, ON",Rental,2700,"1,785 SQFT","$4,212",3,3
"118 WATERMILL STREET, Kitchener, ON",Rental,2999,Not listed,N/A,4,3
"120 SOUTH CREEK DRIVE, Kitchener, ON",Rental,2800,Not listed,N/A,3,3
"410 KING Street W Unit# 506, Kitchener, ON",Rental,3795,"1,046 SQFT",N/A,2,2
"601 LANCASTER Street W Unit# MAIN, Kitchener, ON",Rental,2100,656 SQFT,N/A,2,1
"15 ACTIVA AVENUE, Kitchener, ON",Rental,2900,Not listed,N/A,4,3
"1989 OTTAWA Street S Unit# 54, Kitchener, ON",Rental,2988,"1,500 SQFT","$3,600",3,3
"261 BELMONT Avenue W Unit# C, Kitchener, ON",Rental,2300,"1,069 SQFT",N/A,2,2
"420 LINDEN Drive Unit# 26, Cambridge, ON",Rental,2895,"1,500 SQFT",N/A,3,3
"2809 - 60 FREDERICK STREET, Kitchener, ON",Rental,2250,Not listed,N/A,2,2
"104 - 103 ROGER STREET, Waterloo, ON",Rental,2375,Not listed,N/A,2,2
"145 SOUTH CREEK Drive Unit# A4, Kitchener, ON",Rental,3000,"1,450 SQFT",N/A,3,4
"363 VOGEL Place, Waterloo, ON",Rental,3100,"1,556 SQFT",N/A,4,2
"142 FOAMFLOWER Place Unit# 63, Waterloo, ON",Rental,2500,"1,198 SQFT",N/A,2,3
"288 BROADACRE DRIVE, Kitchener, ON",Rental,3700,Not listed,N/A,4,4
"UPPER - 40 SORRENTO STREET, Kitchener, ON",Rental,2800,Not listed,N/A,3,3
"268 LEMON GRASS Crescent Unit# BASEMENT, Kitchener, ON",Rental,1800,560 SQFT,N/A,2,1
"B6 - 6 UPPER MERCER STREET E, Kitchener, ON",Rental,2850,Not listed,N/A,3,3
"324 EQUESTRIAN Way Unit# 67, Cambridge, ON",Rental,2500,"1,560 SQFT",N/A,3,3
"23 KENMORE Avenue Unit# Lower, Cambridge, ON",Rental,2195,950 SQFT,N/A,1,1
"230 - 55 DUKE STREET W, Kitchener, ON",Rental,2000,Not listed,N/A,1,1
"142 FOAMFLOWER Place Unit# 10, Waterloo, ON",Rental,2500,"1,022 SQFT",N/A,2,2
"56 ROBERT PEEL Road, Kitchener, ON",Rental,3000,"1,705 SQFT",N/A,3,3
"261 WOODBINE Avenue Unit# B-60, Kitchener, ON",Rental,2450,"1,300 SQFT",N/A,2,2
"247 NORTHFIELD Drive E Unit# 607, Waterloo, ON",Rental,1975,580 SQFT,N/A,1,1
"324 EQUESTRIAN Way Unit# 43-Main, Cambridge, ON",Rental,2600,"1,400 SQFT",N/A,3,3
"16 - 453 ALBERT STREET, Waterloo, ON",Rental,2550,Not listed,N/A,3,1
"42 SHANLEY Street Unit# Upper, Kitchener, ON",Rental,3000,"1,735 SQFT",N/A,3,2
"592 BLAIR CREEK Drive Unit# B, Kitchener, ON",Rental,1695,809 SQFT,N/A,1,1
"112 BENTON Street Unit# 703, Kitchener, ON",Rental,3800,"1,659 SQFT",N/A,2,3
"155 CAROLINE Street S Unit# 1205, Waterloo, ON",Rental,2299,645 SQFT,N/A,2,1
"70 RUSS Street Unit# Upper Level, Cambridge, ON",Rental,2800,"1,000 SQFT",N/A,3,2
"108 GARMENT Street Unit# 1806, Kitchener, ON",Rental,2200,636 SQFT,N/A,2,1
"70 VILLAGE GREEN Way, Baden, ON",Rental,2800,"1,218 SQFT",N/A,3,2
"25 ISHERWOOD Avenue Unit# 98, Cambridge, ON",Rental,2400,"1,068 SQFT","$3,565",2,2
"120 UNION Street S, Cambridge, ON",Rental,2800,"1,016 SQFT",N/A,3,1
"1203 - 741 KING STREET W, Kitchener, ON",Rental,1800,Not listed,N/A,1,1
"143 QUEEN Street N, Kitchener, ON",Rental,2490,"1,437 SQFT",N/A,2,1
"55 GREEN VALLEY Drive Unit# 514, Kitchener, ON",Rental,1900,917 SQFT,N/A,1,1
"702 QUEEN Street S, Kitchener, ON",Rental,2395,"1,100 SQFT",N/A,3,1
"82 PONY Way E, Kitchener, ON",Rental,2950,"1,746 SQFT","$4,633",3,3
"286 CARRIAGE Way Unit# B, Waterloo, ON",Rental,1675,"1,200 SQFT","$8,200",1,1
"805 FAIRWAY CRESCENT, Kitchener, ON",Rental,3300,Not listed,N/A,4,3
"2 - 294 FERGUS AVENUE, Kitchener, ON",Rental,2400,Not listed,N/A,3,2
"565 GREENFIELD Avenue Unit# 910, Kitchener, ON",Rental,2000,655 SQFT,"$1,781",2,1
"555 KING Street E Unit# 308, Kitchener, ON",Rental,2400,"1,026 SQFT",N/A,2,2
"35 - 155 EQUESTRIAN WAY S, Cambridge, ON",Rental,2700,Not listed,N/A,3,3
"69 MEADOWRIDGE STREET, Kitchener, ON",Rental,3100,Not listed,N/A,3,4
"168 WINDFLOWER DRIVE, Kitchener, ON",Rental,1100,Not listed,N/A,1,1
"901 - 741 KING STREET W, Kitchener, ON",Rental,2500,Not listed,N/A,2,1
"2611 - 108 GARMENT STREET, Kitchener, ON",Rental,2000,Not listed,N/A,1,1
"562 BLAIR CREEK DRIVE, Kitchener, ON",Rental,2900,Not listed,N/A,3,3
"525 NEW DUNDEE Road Unit# 309, Kitchener, ON",Rental,2650,951 SQFT,N/A,2,2
"49 HISTAND TRAIL, Kitchener, ON",Rental,2950,Not listed,N/A,3,3
"60 GEORGE Street Unit# Main, Waterloo, ON",Rental,3000,"1,244 SQFT","$7,743",3,2
"38 REISTWOOD Drive, Kitchener, ON",Rental,2850,"1,986 SQFT",N/A,3,4
"55 HUGO Crescent, Kitchener, ON",Rental,1695,400 SQFT,N/A,1,1
"89 BECK Street Unit# 4, Cambridge, ON",Rental,2195,800 SQFT,N/A,2,1
"64 BENTON Street Unit# 1201, Kitchener, ON",Rental,1800,674 SQFT,"$1,333",1,1
"G6 - 20 PALACE STREET, Kitchener, ON",Rental,2300,Not listed,N/A,2,2
"1403 - 741 KING STREET W, Kitchener, ON",Rental,2250,Not listed,N/A,1,1
"50 PINNACLE Drive Unit# 57, Kitchener, ON",Rental,2850,"1,445 SQFT",N/A,3,3
"UPPER - 199 ALLEN STREET E, Waterloo, ON",Rental,3000,Not listed,N/A,3,1
"960 BIANCA COURT, Kitchener, ON",Rental,2850,Not listed,N/A,3,3
"16 - 155 EQUESTRIAN WAY, Cambridge, ON",Rental,2849,Not listed,N/A,4,4
"275 FERNDALE Place, Waterloo, ON",Rental,3000,"2,000 SQFT","$6,235",3,3
"22 PONDCLIFFE DRIVE, Kitchener, ON",Rental,3200,Not listed,N/A,4,3
"70 FORESTWALK STREET, Kitchener, ON",Rental,2750,Not listed,N/A,3,3
"519 - 251 NORTHFIELD DRIVE E, Waterloo, ON",Rental,2350,Not listed,N/A,2,2
"120 WHEAT LANE, Kitchener, ON",Rental,2350,Not listed,N/A,2,2
"205 WEST OAK Trail Unit# 14, Kitchener, ON",Rental,2650,"1,437 SQFT",N/A,2,2
"55 CARTIER Drive Unit# Upper Unit, Kitchener, ON",Rental,2650,"1,021 SQFT","$3,035",3,1
"741 KING Street W Unit# 1803, Kitchener, ON",Rental,2250,656 SQFT,N/A,1,1
"741 KING Street W Unit# 1703, Kitchener, ON",Rental,2250,656 SQFT,N/A,1,1
"741 KING Street W Unit# 1804, Kitchener, ON",Rental,2000,553 SQFT,N/A,1,1
"203 MAUSSER Avenue Unit# 2, Kitchener, ON",Rental,2450,992 SQFT,N/A,3,1
"54 - 271 GREY SILO ROAD, Waterloo, ON",Rental,3200,Not listed,N/A,4,4
"76 WELLINGTON Street N Unit# A, Kitchener, ON",Rental,2200,872 SQFT,N/A,2,1
"251 NORTHFIELD Drive E Unit# 616, Waterloo, ON",Rental,1950,584 SQFT,N/A,1,1
"15 STAUFFER WOODS Trail Unit# 31, Kitchener, ON",Rental,2000,782 SQFT,N/A,1,1
"234 NEWBURY Drive, Kitchener, ON",Rental,2800,"1,625 SQFT",N/A,3,2
"401 FOUNTAIN STREET S, Cambridge, ON",Rental,3000,Not listed,N/A,5,2
"261 FORESTWALK STREET Street, Kitchener, ON",Rental,3900,"2,521 SQFT",N/A,5,4
"948 WINTERHALT Avenue, Cambridge, ON",Rental,2300,960 SQFT,N/A,3,1
"60 CHARLES STREET WEST Street Unit# 2601, Kitchener, ON",Rental,1900,549 SQFT,N/A,1,1
"308 LESTER Street Unit# 620, Waterloo, ON",Rental,1900,Not listed,"$2,240",1,1
"262 NORTHCREST PLACE, Waterloo, ON",Rental,3200,Not listed,N/A,4,2
"711 - 15 WELLINGTON STREET S, Kitchener, ON",Rental,2200,Not listed,N/A,2,1
"450 HESPELER Road Unit# G213, Cambridge, ON",Rental,2850,875 SQFT,$12,N/A,0
"272 MARY Street, Waterloo, ON",Rental,4100,"3,455 SQFT",N/A,4,4
"244 NORTHLAKE Drive Unit# B, Waterloo, ON",Rental,2600,"1,250 SQFT",N/A,3,1
"76 BRYBECK Crescent Unit# 201, Kitchener, ON",Rental,1899,900 SQFT,N/A,3,1
"1A - 155 THOMAS SLEE DRIVE, Kitchener, ON",Rental,2300,Not listed,N/A,2,2
"258A SUNVIEW Street Unit# 133, Waterloo, ON",Rental,2000,541 SQFT,N/A,1,1
"LOWER - 106 TRAFALGAR AVENUE S, Kitchener, ON",Rental,2000,Not listed,N/A,3,1
"C27 - 1430 HIGHLAND ROAD W, Kitchener, ON",Rental,2300,Not listed,N/A,2,2
"155 CAROLINE Street S Unit# 1004, Waterloo, ON",Rental,2400,671 SQFT,N/A,2,1
"324 EQUESTRIAN WAY, Cambridge, ON",Rental,2500,Not listed,N/A,3,3
"603 - 60 FREDERICK STREET, Kitchener, ON",Rental,1975,Not listed,N/A,2,1
"65 BETZNER Avenue N Unit# 2, Kitchener, ON",Rental,2000,626 SQFT,N/A,1,1
"126 TARTAN AVENUE, Kitchener, ON",Rental,3400,Not listed,N/A,4,4
"255 NORTHFIELD Drive E Unit# 414, Waterloo, ON",Rental,2500,821 SQFT,"$3,372",2,2
"92 RIDGE ROAD, Cambridge, ON",Rental,3099,Not listed,N/A,4,3
"#2B - 240 WESTMEADOW DRIVE, Kitchener, ON",Rental,2600,Not listed,N/A,3,2
"128 KING Street N Unit# 809, Waterloo, ON",Rental,2000,683 SQFT,N/A,2,1
"181 KING Street S Unit# 811, Waterloo, ON",Rental,1985,610 SQFT,N/A,1,1
"29 MADELEINE Street, Kitchener, ON",Rental,2850,"1,484 SQFT",N/A,3,3
"1430 HIGHLAND ROAD WEST Road Unit# C28, Kitchener, ON",Rental,2550,"1,137 SQFT",N/A,2,3
"41 VALLEYVIEW Road Unit# 49, Kitchener, ON",Rental,1850,620 SQFT,N/A,1,1
"15 WELLINGTON Street Unit# 512, Kitchener, ON",Rental,1899,625 SQFT,N/A,1,1
"255 NORTHFIELD Drive E Unit# 305, Waterloo, ON",Rental,2395,801 SQFT,N/A,2,2
"391 PIONEER Drive Unit# 6, Kitchener, ON",Rental,2350,894 SQFT,N/A,3,1
"96 OAT Lane, Kitchener, ON",Rental,2599,"1,220 SQFT",N/A,2,3
"195 COMMONWEALTH Street Unit# 203, Kitchener, ON",Rental,2395,884 SQFT,N/A,2,2
"179 WESTMOUNT Road E Unit# A, Kitchener, ON",Rental,2500,"1,233 SQFT",N/A,3,1
